Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/056_subCustomer_filter.js,     3785, "Count Bytes of Code"
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/056_subCustomer_filter.js,       88, "Count Lines of Code"
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/057_shipmentInfo_filtermenu_checkbox.js,        0, "Count eval", Potential Slow and Code Smell
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/057_shipmentInfo_filtermenu_checkbox.js,       17, "Count $(", JQuery Function, Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/057_shipmentInfo_filtermenu_checkbox.js,        6, "Count $.", JQuery Utility Function, Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/057_shipmentInfo_filtermenu_checkbox.js,        0, "Count with", Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/057_shipmentInfo_filtermenu_checkbox.js,        0, "Count new", Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/057_shipmentInfo_filtermenu_checkbox.js,        0, "Count document.write", Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/057_shipmentInfo_filtermenu_checkbox.js,        0, "Count Pattern for\s+in", Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/057_shipmentInfo_filtermenu_checkbox.js,        0, "Count Pattern return\s+null", Code Smell
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/057_shipmentInfo_filtermenu_checkbox.js,    11771, "Count Bytes of Code"
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/057_shipmentInfo_filtermenu_checkbox.js,      274, "Count Lines of Code"
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/058_shipmentInfo_filtermenu_select.js,        0, "Count eval", Potential Slow and Code Smell
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/058_shipmentInfo_filtermenu_select.js,        6, "Count $(", JQuery Function, Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/058_shipmentInfo_filtermenu_select.js,        0, "Count $.", JQuery Utility Function, Potential Slow
Do 19 Mai 2016 13:48:17 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/058_shipmentInfo_filtermenu_select.js,        0, "Count with", Potential Slow
Do 19 Mai 2016 13:48:17 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/058_shipmentInfo_filtermenu_select.js,        0, "Count new", Potential Slow
Do 19 Mai 2016 13:48:17 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/058_shipmentInfo_filtermenu_select.js,        0, "Count document.write", Potential Slow
Do 19 Mai 2016 13:48:17 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/058_shipmentInfo_filtermenu_select.js,        0, "Count Pattern for\s+in", Potential Slow
Do 19 Mai 2016 13:48:17 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/058_shipmentInfo_filtermenu_select.js,        0, "Count Pattern return\s+null", Code Smell
Do 19 Mai 2016 13:48:17 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/058_shipmentInfo_filtermenu_select.js,     2604, "Count Bytes of Code"
Do 19 Mai 2016 13:48:17 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/058_shipmentInfo_filtermenu_select.js,       79, "Count Lines of Code"
Do 19 Mai 2016 13:48:17 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/059_shipmentInfo_filter.js,        0, "Count eval", Potential Slow and Code Smell
Do 19 Mai 2016 13:48:17 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/059_shipmentInfo_filter.js,       21, "Count $(", JQuery Function, Potential Slow
Do 19 Mai 2016 13:48:17 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/059_shipmentInfo_filter.js,        2, "Count $.", JQuery Utility Function, Potential Slow
Do 19 Mai 2016 13:48:17 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/059_shipmentInfo_filter.js,        0, "Count with", Potential Slow
Do 19 Mai 2016 13:48:17 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/059_shipmentInfo_filter.js,        0, "Count new", Potential Slow
Do 19 Mai 2016 13:48:17 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/059_shipmentInfo_filter.js,        0, "Count document.write", Potential Slow
Do 19 Mai 2016 13:48:17 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/059_shipmentInfo_filter.js,        0, "Count Pattern for\s+in", Potential Slow
Do 19 Mai 2016 13:48:17 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/059_shipmentInfo_filter.js,        0, "Count Pattern return\s+null", Code Smell
Do 19 Mai 2016 13:48:17 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/059_shipmentInfo_filter.js,     6524, "Count Bytes of Code"
Do 19 Mai 2016 13:48:17 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/059_shipmentInfo_filter.js,      156, "Count Lines of Code"
Do 19 Mai 2016 13:48:17 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/062_accountOverview.js,        0, "Count eval", Potential Slow and Code Smell
Do 19 Mai 2016 13:48:17 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/062_accountOverview.js,        5, "Count $(", JQuery Function, Potential Slow
Do 19 Mai 2016 13:48:17 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/062_accountOverview.js,        1, "Count $.", JQuery Utility Function, Potential Slow
Do 19 Mai 2016 13:48:17 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/062_accountOverview.js,        0, "Count with", Potential Slow
